Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorOUT,ErrorERR
171,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/145/quic_server_test_retry0.iev,18.0,0.0,,
175,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/315/quic_server_test_version_negociation0.iev,27.0,0.0,,
176,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/172/quic_server_test_retry0.iev,26.0,0.0,,
183,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/362/quic_server_test_version_negociation0.iev,19.0,0.0,,
184,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/132/quic_server_test_retry0.iev,15.0,0.0,,
186,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/308/quic_server_test_version_negociation0.iev,33.0,0.0,,
188,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/165/quic_server_test_retry0.iev,17.0,0.0,,
191,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/125/quic_server_test_retry0.iev,21.0,1.0,,
193,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/371/quic_server_test_version_negociation0.iev,17.0,0.0,,
194,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/367/quic_server_test_version_negociation0.iev,42.0,0.0,,
195,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/175/quic_server_test_retry0.iev,22.0,0.0,,
196,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/105/quic_server_test_retry0.iev,36.0,0.0,,
197,aioquic,server,quic_server_test_retry,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/120/quic_server_test_retry0.iev,15.0,0.0,,
198,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/391/quic_server_test_version_negociation0.iev,22.0,0.0,,
200,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/319/quic_server_test_version_negociation0.iev,0.0,0.0,,
