Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorsCode
1289,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/710/quic_client_test_retry0.iev,1.0,0.0,9
1290,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1560/quic_client_test_version_negociation0.iev,1.0,0.0,9
1291,quinn,client,quic_client_test_retry,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/60/quic_client_test_retry0.iev,8.0,0.0,8
1292,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1440/quic_client_test_version_negociation0.iev,27.0,0.0,1
1293,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1154/quic_client_test_version_negociation0.iev,0.0,0.0,0
1294,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/260/quic_client_test_retry0.iev,0.0,0.0,4
1295,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/900/quic_client_test_version_negociation0.iev,3.0,0.0,5
1296,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1467/quic_client_test_version_negociation0.iev,35.0,0.0,1
1297,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/206/quic_client_test_retry0.iev,0.0,0.0,4
1298,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1199/quic_client_test_version_negociation0.iev,0.0,0.0,0
1299,quant,client,quic_client_test_version_negociation,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1355/quic_client_test_version_negociation0.iev,0.0,0.0,3
1300,quiche,client,quic_client_test_version_negociation,,require connected(dcid) |+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1256/quic_client_test_version_negociation0.iev,3.0,0.0,6
1301,picoquic,client,quic_client_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/179/quic_client_test_retry0.iev,31.0,0.0,1
1302,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1151/quic_client_test_version_negociation0.iev,0.0,0.0,0
1303,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1132/quic_client_test_version_negociation0.iev,0.0,0.0,0
1304,quant,client,quic_client_test_version_negociation,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1018/quic_client_test_version_negociation0.iev,0.0,0.0,4
1305,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/255/quic_client_test_retry0.iev,0.0,0.0,4
1306,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1581/quic_client_test_version_negociation0.iev,1.0,0.0,9
1307,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1418/quic_client_test_version_negociation0.iev,35.0,0.0,1
